country	code	ln_hla_het	hla_het	ln_mort40	ln_le40	ln_le50	ln_le60	ln_le70	ln_le80	ln_le90	ln_le00	ln_le10	europe	asia	africa	americas	oceania	frac_eur	frac_me	frac_easia	frac_africa	frac_am	frac_oc	aa_ln_atd	aa_atd	aa_mdist	aa_mdist_sqr	aa_lanim	aa_lpd1	ln_frac	ln_arable	ln_suitavg	ln_abslat	aa_pdiv	malfal	tropical	desert	distcr1000	frac_migrant	pnativ_60	ln_ypc60	ln_yr_sch1960	ln_pd60	ln_urb60	ln_young	ln_mix_het	oecd	fstdistwtd_usa
"Chile"	"CHL"	-1.2619838	0.28309187	-0.21989879	3.7376697	4.001864	4.04352	4.129337	4.2368813	4.298693	4.3414874	4.3680005	0	0	0	1	0	0.44945395	0.0	0.0	0.0	0.55054605	0.0	8.655232	6015.409	13.550474	274.71185	1.6740706	0.8365244	0.1707094	0.97077894	-1.9661129	3.4011974	0.6719722	0.0	0	15.489202436018472	0.112301	0.62693894	0.3730611	8.72794	1.6530211	2.3225648	4.2165623	3.6731575	-1.1595422	0	8.958856
"China"	"CHN"	-1.1387327	0.3202246	-1.2361517	3.7819145	3.708682	3.84165	4.141582	4.2046003	4.240747	4.2660785	4.2941933	0	1	0	0	0	0.0	0.004420587	0.9955794	0.0	0.0	0.0	9.1049795	9000.0	10.00298	100.0596	2.0794415	1.737333	0.14305247	2.6878474	-1.0788096	3.5553482	0.6987618	0.0157621	0.3007317472089089	5.7695296359254815	0.76506096	0.0	1.0	6.80462	0.82469743	4.245027	2.7725887	3.6790419	-1.1360557	0	11.988264
"Colombia"	"COL"	-1.1821961	0.30660465	-0.6254886	3.634951	3.9239516	4.03807	4.108111	4.1814566	4.223991	4.2626934	4.296328	0	0	0	1	0	0.56	0.0	0.0	0.125	0.315	0.0	8.414064	4997.9824	11.785647	202.38837	1.4373991	0.40731418	0.47087824	0.99694866	-1.1086626	1.3862944	0.68529963	0.2616948	89.7632432491355	0	0.200267	0.6282475	0.37175247	8.16905	1.1212083	2.6657186	3.8066626	3.833694	-1.0777125	0	7.8001385
"Comoros"	"COM"	-1.1092016	0.3298222		3.6054978	3.6888795	3.77143	3.865085	3.9503813	4.0181727	4.0583105	4.104728	0	0	1	0	0	0.0	0.0	0.0	1.0	0.0	0.0			3.152943	10.572561	0.0		0.0	3.5799012		2.4987	0.7504911		100	0		0.5	0.5	6.94986		4.5883574	2.533697	3.7495883	-1.1092016	0	20.56829
"Congo"	"COG"	-1.1092016	0.3298222			3.6532521	3.87561	3.9784956	4.029572	4.029745	3.9916813	4.0423527	0	0	1	0	0	0.0	0.0	0.0	1.0	0.0	0.0	8.018698	3000.0	2.987377	8.924419	0.0	-1.654471	0.6284625	0.35767442	-2.65926	0.0	0.7517414	1.0	100	0	0.507805	0.0	1.0	7.70886	0.17393723	1.0766151	3.4531572	3.7221184	-1.1092016	0	20.880098
"Costa Rica"	"CRI"	-1.0737902	0.34171093	-0.40496525	3.897924	4.0483007	4.12077	4.202436	4.2842875	4.327399	4.3541937	4.371883	0	0	0	1	0	0.93867975	0.0	0.0	0.015406591	0.04591368	0.0	8.006368	5382.6675	10.839661	165.36447	1.4434999	1.1086504	0.2125274	1.4838747	-0.43078294	2.3025851	0.69244343	0.0	94.01733788998786	0	0.0357302	0.68594575	0.31405425	8.27843	1.3694592	3.1963122	3.5351453	3.799073	-1.0491661	0	3.9223287
"Cote d'Ivoire"	"CIV"	-1.1845194	0.30589315			3.583519	3.70687	3.7821088	3.9397206	3.963555	3.9152353	4.002623	0	0	1	0	0	0.0	0.0	0.0	1.0	0.0	0.0	8.470341	3549.679	4.543559	20.70295	0.0	0.18296112	0.5990694	2.2772672	-1.2039728	2.0794415	0.7399896	1.0	100	0	0.272162	0.41948444	0.58051556	7.45819	-0.08211851	2.4199712	2.8735647	3.7794282	-1.1517875	0	13.832062
"Croatia"	"HRV"	-1.0863314	0.3374522			4.114147	4.19012	4.232625	4.2509975	4.2790313	4.287823	4.3369718	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	8.168315	7043.6377	4.858727	23.625177		1.7695369	0.31409955	3.260785	-0.1863296	3.8103595	0.7376095	0.0	0	0	0.0338831	0.069446445	0.93055356	8.45766	1.6638083	4.279303	3.407842	3.304904	-1.0701506	0	4.5900817
"Cuba"	"CUB"	-1.1038427	0.3315944			4.082609	4.15739	4.2438507	4.2981334	4.3102593	4.335535	4.3689938	0	0	0	1	0	0.63131315	0.0	0.0	0.28282827	0.08585858	0.0	8.859371	5629.0767	5.982806	42.64647		1.2142997	0.46423703	3.3796332	-0.22314353	3.068053	0.72912085	0.0	100	0	0.0210312	0.9746697	0.025330303	8.00936	1.4367771	4.180985	4.067316	3.5569844	-1.0403683	0	7.077656
"Cyprus"	"CYP"	-1.1146576	0.32802758		4.0430512	4.204693	4.22909	4.283954	4.314129	4.3373523	4.3561563	4.3742514	1	0	0	0	0	0.66944736	0.16527633	0.16527633	0.0	0.0	0.0	8.504016	8732.541	4.3141093	18.764896			0.08970724	2.3617969		3.5553482	0.7417223	0.0	0	0	0.0110395	0.20499998	0.795	8.44398	1.6237346	4.1273437	3.5723455	3.6027298	-1.0836405	0	4.540665
